state,year,month,api
Terengganu,2020,9,46.41339156
Terengganu,2020,10,41.28918919
Terengganu,2020,11,40.10138889
Terengganu,2020,12,33.34946237
Terengganu,2021,1,40.59139785
Terengganu,2021,2,53.00744048
Terengganu,2021,3,41.40860215
Terengganu,2021,4,42.25277778
Terengganu,2021,5,41.45430108
Terengganu,2021,6,40.17361111
Terengganu,2021,7,46.77419355
Terengganu,2021,8,40.38844086
Terengganu,2021,9,40.39583333
Terengganu,2021,10,44.89650538
Terengganu,2021,11,30.62638889
Terengganu,2021,12,42.2311828
Terengganu,2022,1,51.97981157
Terengganu,2022,2,36.06110283
Terengganu,2022,3,49.55913978
Terengganu,2022,4,48.88333333
Terengganu,2022,5,47.45512821
Sarawak,2017,1,47.6438172
Sarawak,2017,2,39.90100671
Sarawak,2017,3,44.47849462
Sarawak,2017,4,38.58487874
Sarawak,2017,5,25.62025316
Sarawak,2017,6,24.71794872
Sarawak,2017,7,28.52284946
Sarawak,2017,8,23.60569106
Sarawak,2017,9,23.27777778
Sarawak,2017,10,22.8077957
Sarawak,2017,11,22.15287518
Sarawak,2017,12,21.77822581
Sarawak,2018,1,17.81960227
Sarawak,2018,2,22.00350877
Sarawak,2018,3,23.32526882
Sarawak,2018,4,26.12222222
Sarawak,2018,5,21.45021038
Sarawak,2018,6,25.97408537
Sarawak,2018,7,33.33232628
Sarawak,2018,8,51.40296496
Sarawak,2018,9,52.35555556
Sarawak,2018,10,49.27016129
Sarawak,2018,11,48.5625
Sarawak,2018,12,44.03897849
Sarawak,2019,1,43.67204301
Sarawak,2019,2,49.51488095
Sarawak,2019,3,53.8655914
Sarawak,2019,4,55.64166667
Sarawak,2019,5,56.06989247
Sarawak,2019,6,45.34166667
Sarawak,2019,7,59.82930108
Sarawak,2019,8,65.42741935
Sarawak,2019,9,83.18055556
Sarawak,2019,10,46.22177419
Sarawak,2019,11,50.78194444
Sarawak,2019,12,36.13709677
Sarawak,2020,1,41.47311828
Sarawak,2020,2,49.03017241
Sarawak,2020,3,48.30510753
Sarawak,2020,4,46.425
Sarawak,2020,5,43.71774194
Sarawak,2020,6,35.95549374
Sarawak,2020,7,36.65591398
Sarawak,2020,8,46.11021505
Sarawak,2020,9,40.11935953
Sarawak,2020,10,46.79301075
Sarawak,2020,11,36.76111111
Sarawak,2020,12,37.98252688
Sarawak,2021,1,29.75806452
Sarawak,2021,2,42.76488095
Sarawak,2021,3,42.78091398
Sarawak,2021,4,54.3125
Sarawak,2021,5,47.38627187
Sarawak,2021,6,50.59027778
Sarawak,2021,7,52.22311828
Sarawak,2021,8,44.35752688
Sarawak,2021,9,44.93472222
Sarawak,2021,10,47.4327957
Sarawak,2021,11,39.925
Sarawak,2021,12,43.56048387
Sarawak,2022,1,44.11843876
Sarawak,2022,2,46.54694486
Sarawak,2022,3,51.50537634
Sarawak,2022,4,52.06303725
Sarawak,2022,5,45.48717949
Melaka,2017,1,40.88794326
Melaka,2017,2,45.0639881
Melaka,2017,3,45.70833333
Melaka,2017,4,35.45138889
Melaka,2017,5,27.31259045
Melaka,2017,6,31.0944206
Melaka,2017,7,26.70889488
Melaka,2017,8,25.30640669
Melaka,2017,9,27.32018927
Melaka,2017,10,32.70912951
Melaka,2017,11,25.78055556
Melaka,2017,12,26.72191781
Melaka,2018,1,22.34497817
Melaka,2018,2,30.56818182
Melaka,2018,3,28.95988539
Melaka,2018,4,30.28434505
Melaka,2018,5,27.35397039
Melaka,2018,6,31.22926829
Melaka,2018,7,33.73521505
Melaka,2018,8,52.54032258
Melaka,2018,9,61.7375
Melaka,2018,10,55.4327957
Melaka,2018,11,50.78888889
Melaka,2018,12,45.96639785
Melaka,2019,1,48.36962366
Melaka,2019,2,51.70089286
Melaka,2019,3,66.50672043
Melaka,2019,4,60.35138889
Melaka,2019,5,59.02150538
Melaka,2019,6,56.0125
Melaka,2019,7,61.2594086
Melaka,2019,8,72.93010753
Melaka,2019,9,97.62083333
Melaka,2019,10,61.23521505
Melaka,2019,11,53.64166667
Melaka,2019,12,42.76612903
Melaka,2020,1,47.74462366
Melaka,2020,2,47.08764368
Melaka,2020,3,51.04569892
Melaka,2020,4,44.26388889
Melaka,2020,5,52.21236559
Melaka,2020,6,51.74130737
Melaka,2020,7,55.68010753
Melaka,2020,8,57.77688172
Melaka,2020,9,50.42066958
Melaka,2020,10,53.72983871
Melaka,2020,11,44.30694444
Melaka,2020,12,46.52284946
Melaka,2021,1,44.52688172
Melaka,2021,2,56.60565476
Melaka,2021,3,62.65053763
Melaka,2021,4,67.38055556
Melaka,2021,5,60.39247312
Melaka,2021,6,60.78611111
Melaka,2021,7,65.72678331
Melaka,2021,8,62.11424731
Melaka,2021,9,54.81388889
Melaka,2021,10,59.49865591
Melaka,2021,11,51.70555556
Melaka,2021,12,49.9327957
Melaka,2022,1,47.60335196
Melaka,2022,2,47.51636905
Melaka,2022,3,52.21340629
Melaka,2022,4,56.76680973
Melaka,2022,5,57.92948718
Kuala Lumpur,2017,1,39.10107817
Kuala Lumpur,2017,2,38.51190476
Kuala Lumpur,2017,3,40.42097701
Kuala Lumpur,2017,4,38.89444444
Kuala Lumpur,2017,5,30.74489796
Kuala Lumpur,2017,6,34.68649518
Kuala Lumpur,2017,7,29.45412131
Kuala Lumpur,2017,8,31.32935154
Kuala Lumpur,2017,9,26.49579832
Kuala Lumpur,2017,10,30.93010753
Kuala Lumpur,2017,11,28.07777778
Kuala Lumpur,2017,12,30.16801075
Kuala Lumpur,2018,1,31.15
Kuala Lumpur,2018,2,35.72077922
Kuala Lumpur,2018,3,34.85220994
Kuala Lumpur,2018,4,35.17083333
Kuala Lumpur,2018,5,33.80848153
Kuala Lumpur,2018,6,33.04231312
Kuala Lumpur,2018,7,36.53629032
Kuala Lumpur,2018,8,53.69692308
Kuala Lumpur,2018,9,65.38418079
Kuala Lumpur,2018,10,57.89247312
Kuala Lumpur,2018,11,55.4875
Kuala Lumpur,2018,12,54.64247312
Kuala Lumpur,2019,1,55.52150538
Kuala Lumpur,2019,2,58.53917051
Kuala Lumpur,2019,3,67.77284946
Kuala Lumpur,2019,4,62.67916667
Kuala Lumpur,2019,5,56.6155914
Kuala Lumpur,2019,6,55.87638889
Kuala Lumpur,2019,7,62.80376344
Kuala Lumpur,2019,8,71.95026882
Kuala Lumpur,2019,9,108.9180556
Kuala Lumpur,2019,10,61.05241935
Kuala Lumpur,2019,11,61.69583333
Kuala Lumpur,2019,12,53.5094086
Kuala Lumpur,2020,1,54.77822581
Kuala Lumpur,2020,2,51.27011494
Kuala Lumpur,2020,3,55.06048387
Kuala Lumpur,2020,4,47.74722222
Kuala Lumpur,2020,5,52.41263441
Kuala Lumpur,2020,6,54.88734353
Kuala Lumpur,2020,7,55.08467742
Kuala Lumpur,2020,8,57.32123656
Kuala Lumpur,2020,9,52.73799127
Kuala Lumpur,2020,10,51.45564516
Kuala Lumpur,2020,11,50.30138889
Kuala Lumpur,2020,12,51.71908602
Kuala Lumpur,2021,1,48.87365591
Kuala Lumpur,2021,2,60.23511905
Kuala Lumpur,2021,3,61.97311828
Kuala Lumpur,2021,4,59.52083333
Kuala Lumpur,2021,5,61.94086022
Kuala Lumpur,2021,6,58.3375
Kuala Lumpur,2021,7,56.48387097
Kuala Lumpur,2021,8,51.17876344
Kuala Lumpur,2021,9,49.54305556
Kuala Lumpur,2021,10,53.16129032
Kuala Lumpur,2021,11,50.35816619
Kuala Lumpur,2021,12,54.18258427
Kuala Lumpur,2022,1,58.02557201
Kuala Lumpur,2022,2,58.3640553
Kuala Lumpur,2022,3,49.80376344
Kuala Lumpur,2022,4,55.72969188
Kuala Lumpur,2022,5,50.82692308
Pahang,2017,1,32.53494624
Pahang,2017,2,37.29166667
Pahang,2017,3,36.13306452
Pahang,2017,4,23.72222222
Pahang,2017,5,19.69985775
Pahang,2017,6,24.29343629
Pahang,2017,7,26.77934272
Pahang,2017,8,20.80784844
Pahang,2017,9,20.80277778
Pahang,2017,10,20.98074278
Pahang,2017,11,16.14479638
Pahang,2017,12,20.08974359
Pahang,2018,1,14.61359867
Pahang,2018,2,26.38487395
Pahang,2018,3,22.44534413
Pahang,2018,4,22.27532097
Pahang,2018,5,21.51084011
